iter	RMSE
0	0.847714253
1	0.8224987542
2	0.7989456834
3	0.7803859857
4	0.7624890319
5	0.7490607099
6	0.7345820407
7	0.7201726115
8	0.7072946421
9	0.6982940576
10	0.6880362391
11	0.6800744473
12	0.6721358749
13	0.6644106668
14	0.6593959078
15	0.6529809514
16	0.6467783645
17	0.6425540563
18	0.6389351662
19	0.6337840157
20	0.6309868793
21	0.6259861335
22	0.6212204025
23	0.6184787926
24	0.6153615696
25	0.6118457089
26	0.6088829318
27	0.6057781118
28	0.6031336075
29	0.6011943125
30	0.5992797071
31	0.5970836869
32	0.5940414913
33	0.5908212485
34	0.5878425849
35	0.5852663131
36	0.5823790132
37	0.5804712596
38	0.5777026304
39	0.5738905606
40	0.5724950089
41	0.571197082
42	0.5694126773
43	0.5679449899
44	0.567307312
45	0.5656656071
46	0.5631964356
47	0.5611742269
48	0.559346455
49	0.5573037249
50	0.5551449518
51	0.5521465607
52	0.5496807359
53	0.5485695599
54	0.5453508962
55	0.5418458049
56	0.5408774637
57	0.5381439948
58	0.5363766696
59	0.5348789515
60	0.5337524249
61	0.5307962411
62	0.529634908
63	0.5279687517
64	0.5264139532
65	0.525281755
66	0.5236606649
67	0.5225330515
68	0.5207796637
69	0.5185189099
70	0.5170839247
71	0.5146932135
72	0.5119109592
73	0.5106093529
74	0.5087442212
75	0.5065128038
76	0.505808986
77	0.5049017084
78	0.5019994745
79	0.5009348768
80	0.4999013829
81	0.4979845446
82	0.4969477263
83	0.4961284991
84	0.4945663967
85	0.4939646801
86	0.4932109578
87	0.4919063187
88	0.4909555618
89	0.4899727229
90	0.4881162389
91	0.486271128
92	0.4845874476
93	0.483852949
94	0.4823028192
95	0.4812047615
96	0.4787982594
97	0.476692353
98	0.4753600769
99	0.4732953722
100	0.4717829607
101	0.470009139
102	0.4677343764
103	0.4673457918
104	0.4670962579
105	0.4654406529
106	0.4630090926
107	0.4616749356
108	0.4609522139
109	0.4598013943
110	0.458832906
111	0.4576812335
112	0.4560134882
113	0.4551293794
114	0.4529661579
115	0.4515665181
116	0.4491392615
117	0.4479938625
118	0.4470037627
119	0.4451567378
120	0.4417589139
121	0.4393985497
122	0.4379138118
123	0.4365386964
124	0.4355161386
125	0.4349158657
126	0.4335606144
127	0.4320833366
128	0.4296486055
129	0.4284669506
130	0.4271296849
131	0.4265557426
132	0.4246745486
133	0.4225597421
134	0.4211031016
135	0.4204862926
136	0.4189115375
137	0.4176548055
138	0.4162388788
139	0.4148265706
140	0.4132084751
141	0.412242382
142	0.4111262799
143	0.4089110825
144	0.4070871703
145	0.4060320154
146	0.4050221006
147	0.4031439906
148	0.3992489175
149	0.3977969211
