iter	Passed	Remaining
0	6	1009
1	19	1426
2	31	1561
3	44	1640
4	67	1969
5	93	2255
6	106	2173
7	118	2109
8	131	2059
9	144	2016
10	156	1982
11	169	1949
12	182	1925
13	195	1899
14	208	1874
15	221	1851
16	233	1829
17	246	1808
18	259	1788
19	272	1771
20	285	1755
21	298	1736
22	311	1717
23	323	1698
24	335	1679
25	348	1661
26	360	1644
27	373	1627
28	385	1610
29	398	1594
30	411	1579
31	424	1563
32	437	1549
33	449	1535
34	462	1520
35	475	1506
36	488	1491
37	502	1479
38	515	1465
39	527	1451
40	540	1436
41	553	1423
42	567	1411
43	579	1396
44	592	1382
45	604	1367
46	617	1353
47	629	1338
48	642	1324
49	655	1310
50	667	1295
51	680	1281
52	692	1267
53	705	1253
54	717	1239
55	730	1226
56	742	1212
57	756	1199
58	769	1186
59	782	1173
60	795	1160
61	808	1147
62	821	1134
63	835	1122
64	848	1108
65	860	1095
66	874	1082
67	886	1069
68	899	1055
69	912	1042
70	925	1029
71	938	1016
72	950	1002
73	963	989
74	976	976
75	989	963
76	1001	949
77	1014	936
78	1027	923
79	1039	909
80	1054	897
81	1067	884
82	1080	872
83	1093	859
84	1106	846
85	1119	833
86	1132	820
87	1145	806
88	1157	793
89	1170	780
90	1182	766
91	1195	753
92	1208	740
93	1220	727
94	1233	714
95	1246	700
96	1259	687
97	1271	674
98	1285	662
99	1298	649
100	1311	636
101	1324	623
102	1338	610
103	1351	597
104	1364	584
105	1377	571
106	1389	558
107	1402	545
108	1414	532
109	1427	518
110	1439	505
111	1452	492
112	1464	479
113	1476	466
114	1490	453
115	1503	440
116	1515	427
117	1528	414
118	1541	401
119	1555	388
120	1568	375
121	1581	362
122	1594	350
123	1608	337
124	1621	324
125	1635	311
126	1648	298
127	1661	285
128	1674	272
129	1687	259
130	1699	246
131	1712	233
132	1725	220
133	1738	207
134	1751	194
135	1763	181
136	1776	168
137	1789	155
138	1802	142
139	1815	129
140	1829	116
141	1846	104
142	1859	91
143	1872	78
144	1886	65
145	1898	52
146	1921	39
147	1934	26
148	1947	13
149	1960	0
